,Company Name,Symbol,Market,Price,Shares,Offer Amount,Date Priced,industry,industry2, website
0,EDGEN GROUP INC. ,EDG ,New York Stock Exchange ,$11 ,"15,000,000 ","$165,000,000 ",4/27/2012,"Basic Materials",Misc,"http://www.google.com/finance?q=edg&ei=WWlgUaCnJ66r0AHWggE"
1,ARES COMMERCIAL REAL ESTATE CORP ,ACRE ,New York Stock Exchange ,$18.50 ,"7,700,000 ","$142,450,000 ",4/26/2012,Financial,Consumer,"http://www.google.com/finance?q=acre"
2,ENVIVIO INC ,ENVI ,Nasdaq National Market ,$9 ,"7,755,000 ","$69,795,000 ",4/25/2012,Tech,Software,"http://www.google.com/finance?q=envi"
3,CLEARSIGN COMBUSTION CORP ,CLIR ,Nasdaq SmallCap Market ,$4 ,"3,000,000 ","$12,000,000 ",4/25/2012,Tech,Scientific,"http://www.google.com/finance?q=CLIR"
4,INFOBLOX INC ,BLOX ,New York Stock Exchange ,$16 ,"7,500,000 ","$120,000,000 ",4/20/2012,Tech,Software,"http://www.google.com/finance?q=BLOX"
6,"MIDSTATES PETROLEUM COMPANY, INC. ",MPO ,New York Stock Exchange ,$13 ,"24,000,000 ","$312,000,000 ",4/20/2012,Energy,Oil,"http://www.google.com/finance?q=MPO"
7,PROOFPOINT INC ,PFPT ,Nasdaq National Market ,$13 ,"6,329,421 ","$82,282,473 ",4/20/2012,Tech,Software,"http://www.google.com/finance?q=BLOX"
8,SPLUNK INC ,SPLK ,Nasdaq National Market ,$17 ,"13,500,000 ","$229,500,000 ",4/19/2012,Tech,Software,"http://www.google.com/finance?q=SPLK"
9,"TUMI HOLDINGS, INC. ",TUMI ,New York Stock Exchange ,$18 ,"18,779,865 ","$338,037,570 ",4/19/2012,Consumer,Apparel,"http://www.google.com/finance?q=TUMI"
10,SANDRIDGE ENERGY INC ,SDR ,New York Stock Exchange ,$21 ,"26,000,000 ","$546,000,000 ",4/18/2012,Financial,Investment,"http://www.google.com/finance?q=SDR"
11,DIGITAL CINEMA DESTINATIONS CORP. ,DCIN ,Nasdaq SmallCap Market ,$6.10 ,"2,200,000 ","$13,420,000 ",4/17/2012,Services,"Motion Pictures","http://www.google.com/finance?q=DCIN"
12,MRC GLOBAL INC. ,MRC ,New York Stock Exchange ,$21 ,"22,727,273 ","$477,272,733 ",4/12/2012,"Basic Materials",Misc,"http://www.google.com/finance?q=MRC"
13,"FORUM ENERGY TECHNOLOGIES, INC. ",FET ,New York Stock Exchange ,$20 ,"18,947,366 ","$378,947,320 ",4/12/2012,Energy,"Oil Well Services","http://www.google.com/finance?q=FET"
14,"OAKTREE CAPITAL GROUP, LLC ",OAK ,New York Stock Exchange ,$43 ,"8,843,023 ","$380,249,989 ",4/12/2012,Financial,Investment,"http://www.google.com/finance?q=OAK"
15,ERICKSON AIR-CRANE INC ,EAC ,Nasdaq National Market ,$8 ,"4,800,000 ","$38,400,000 ",4/11/2012,"Capital Goods",Aerospace,"http://www.google.com/finance?q=EAC"
17,"RETAIL PROPERTIES OF AMERICA, INC. ",RPAI ,New York Stock Exchange ,$8 ,"31,800,000 ","$254,400,000 ",4/5/2012,Services,"Real Estate","http://www.google.com/finance?q=RPAI"
